Receiver ID,Name,No of Claims
756,Emma Anderson,1
497,Miss Jamie Gonzalez DDS,1
554,Margaret Mccullough,1
797,Robert Becker,1
717,Jonathon Gregory,1
576,Justin Lopez,1
688,Jeffrey Turner,1
908,Abigail Crawford,1
904,Amanda Kline,1
673,Shelly Castillo,1
950,Caitlin Bennett,1
436,Jacqueline Turner,1
858,Ashley Harris,1
791,David Kennedy,1
679,Alexis Rodriguez,1
596,Natalie Navarro,1
962,Donald Anderson,1
124,Marie Andrade,1
216,Morgan Massey,1
929,Donna Terry,1
385,William Barnes,1
879,Bridget Hill,1
921,Kelly Walls,1
912,Katelyn Proctor,1
565,Brian Blankenship,1
883,Aaron Rios,1
223,David Henderson,1
968,Mr. Joseph Herring,1
99,Nancy Silva,1
574,Mr. William Hunt,1
878,Cory Johnson,1
102,Daniel Burton,1
671,Cindy Green PhD,1
320,Carmen Barker,1
872,Lori Peters,1
396,Allison Martinez,1
676,John Williams,1
180,Michelle Cook,1
399,Jennifer Hughes,1
543,Brenda Green,1
329,Christine Patterson,1
705,Christopher Sellers,1
442,Natasha Harper,1
748,Bridget Williams,1
292,Mrs. Emily Smith DVM,1
821,Jeffrey Wilson,1
126,Heather Brown,1
460,Karen Stafford,1
33,Anita Kerr,1
859,Dana Williams,1
400,John Byrd,1
835,Jennifer Wright,1
789,Laura Robertson,1
542,Savannah Neal,1
341,Anna Buckley,1
990,Patricia Hardy,1
926,Kimberly Ware,1
281,Mrs. Kristin Adams DDS,1
782,Timothy Burns,1
832,Kylie Young,1
458,Michael Vargas,1
737,James Brown,1
227,Samuel Hodge,1
192,Rhonda King,1
367,Ricardo Roberts,1
9,Emily Turner,1
687,Danny Palmer,1
1000,April Miller,1
43,Bobby Perry,1
28,Mary Franklin,1
220,Cassandra Mendoza,1
902,Michelle Riley,1
610,Jimmy Morton,1
508,Kimberly Wilson,1
785,Melissa Lee,1
536,Margaret Lloyd,1
525,Michael Dixon,1
132,Katherine Gomez,1
901,Donald Caldwell,1
15,Donald Kelly,1
674,Stephen Harris,1
494,Timothy Chavez,1
650,Nicholas Peterson,1
844,Andrew Gray,1
888,Matthew Davis,1
810,Cody Meyer,1
218,Corey Lamb,1
608,Oscar Bauer,1
544,Matthew Wright,1
171,Suzanne Velasquez,1
50,Brian Gonzales,1
709,Matthew Sanchez,1
7,Kenneth Baker,1
212,Ronald Gonzalez,1
351,Kerry Jones,1
788,Beth Phillips,1
355,Brian Hoffman,1
328,Carlos Lawrence,1
112,Brady Lopez,1
379,Tara Graham,1
680,James Lewis,1
259,Aimee Stone,1
783,Monica Phillips,1
293,Randy Roach,1
72,Charles Davidson,1
982,Thomas Villanueva,1
795,Caitlin Cobb,1
570,Anthony Cochran,1
869,David Mendoza,1
389,Kelly Buchanan,1
128,Sarah Carter,1
870,Joshua Mendoza,1
195,John Martin,1
164,Aaron Scott,1
647,Christine Davis,1
838,Jessica Stephens,1
771,Emily Gallagher,1
145,David Hull,1
615,Rachel Carson,1
794,Lee Nunez,1
228,Joanna Wilkins,1
302,Daniel Moore,1
848,Terrence Wagner,1
738,Matthew Morgan,1
276,Scott Hunter,1
768,Mary Wilson,1
730,Felicia Glover,1
572,Diana Blair,1
532,David Sellers DVM,1
852,Jo Martinez,1
561,Andrea Morris,1
934,Dr. Wendy Terrell,1
558,Samantha Salinas,1
299,Michael Curtis,1
424,Pamela Harris,1
189,Stephen Smith,1
239,Lindsay Garcia,1
935,John Harris,1
42,Maria Jacobs,1
507,Destiny Maldonado,1
959,Samantha Gomez,1
240,Ronald Miller,1
585,Mark Lewis,1
745,Jose Vance,1
625,Paul Lee,1
830,Jeffrey Cooper,1
308,Robin Pena,1
330,Kimberly Hamilton,1
409,Matthew Simmons PhD,1
553,Scott Proctor,1
113,Jonathan Young,1
875,Scott Smith,1
394,Kyle Kerr,1
211,Judy Griffith,1
