Receiver ID,Receiver Name,Average Quantity
152,Jasmine Miranda,42.0000
74,Patricia Smith,42.0000
370,Tara Johns,42.0000
215,Mr. Matthew Johnson DDS,42.0000
640,Joseph Smith,42.0000
618,Samuel Mendez,42.0000
844,Andrew Gray,42.0000
56,Deborah Smith,42.0000
389,Kelly Buchanan,42.0000
601,Peter Gonzalez,41.5000
990,Patricia Hardy,41.5000
745,Jose Vance,41.0000
66,Jade Jackson,41.0000
586,Amy Barker,41.0000
119,Jasmine Robertson,41.0000
314,Kelsey Smith,41.0000
395,Joseph Davis,41.0000
306,Donna Williams,40.6667
855,Robert Abbott,40.5000
957,Angela Hall,40.5000
988,Kristi Rodriguez,40.0000
187,Amy Thomas,40.0000
199,Ashley Rivers,40.0000
237,Cathy Adams,40.0000
401,Leslie Acevedo,40.0000
524,Tiffany Rodriguez,40.0000
308,Robin Pena,40.0000
507,Destiny Maldonado,39.6667
62,Nichole Lewis,39.5000
950,Caitlin Bennett,39.5000
770,Jacob Gibbs,39.5000
559,Randy Martinez,39.5000
487,Micheal Peterson,39.0000
129,Denise Martinez,39.0000
660,James Hernandez II,39.0000
125,Tammy Smith,39.0000
327,Aaron Keller,39.0000
902,Michelle Riley,39.0000
202,Veronica Coleman,39.0000
439,Erika Lopez,38.5000
283,Edward Cook,38.5000
377,Patrick Campbell,38.5000
742,Matthew Webb,38.2000
246,Kristi Wagner,38.0000
376,John Reeves,38.0000
102,Daniel Burton,38.0000
602,Paul Carter,38.0000
190,Maria Jackson,38.0000
543,Brenda Green,38.0000
568,Melissa Mclaughlin,38.0000
841,Brian Reed,38.0000
900,Hannah Reynolds,37.5000
789,Laura Robertson,37.5000
768,Mary Wilson,37.5000
492,Julie Lewis,37.0000
374,Ricky Walker,37.0000
103,Karen Cruz,37.0000
104,Victor Reyes,37.0000
697,Laura Leach,37.0000
785,Melissa Lee,37.0000
159,Angela Cortez,37.0000
972,Patricia Joseph,37.0000
451,Marcus Gregory,37.0000
871,Veronica Adams,37.0000
337,Jennifer Schmidt,36.5000
865,Katherine Houston,36.0000
342,Kristina Vargas,36.0000
242,Matthew Pearson,36.0000
718,Matthew Brown,36.0000
703,Mr. Jonathan Williams,36.0000
833,Kelly Pierce,36.0000
859,Dana Williams,36.0000
777,Julie Dickerson,36.0000
889,Holly Aguilar,36.0000
173,Jason Moore,35.6667
1,Donald Gomez,35.5000
553,Scott Proctor,35.5000
341,Anna Buckley,35.3333
807,Taylor Miller,35.0000
44,Andrew Lawson,35.0000
802,Lisa Cruz,35.0000
995,Brittany Taylor,35.0000
892,Brian Hardy,35.0000
254,Felicia Wilkinson,35.0000
344,Barbara Velasquez,35.0000
547,James Kennedy,35.0000
637,Benjamin Soto,35.0000
884,Mary Evans,35.0000
674,Stephen Harris,35.0000
668,Maria Singh,35.0000
875,Scott Smith,35.0000
144,Jennifer Nelson,34.7500
382,Patricia Stevens,34.6667
858,Ashley Harris,34.6667
302,Daniel Moore,34.5000
570,Anthony Cochran,34.5000
917,Michael Townsend,34.3333
526,Brian Morales,34.0000
27,Johnny Page,34.0000
560,Matthew Mendez,34.0000
541,Amy Brown,34.0000
797,Robert Becker,34.0000
9,Emily Turner,34.0000
912,Katelyn Proctor,34.0000
891,Thomas Myers,34.0000
493,Chelsea Powell,33.5000
287,Jennifer Johnson,33.5000
118,Matthew Tran,33.0000
386,Mary Hopkins,33.0000
45,Derek Potter,33.0000
12,Jennifer Bishop,33.0000
285,Derrick Curtis,33.0000
388,Nicole Mueller,33.0000
824,Madison Myers,33.0000
245,Rebecca Sanchez,33.0000
693,Carl Brewer,33.0000
832,Kylie Young,33.0000
937,Mark Ward,33.0000
525,Michael Dixon,33.0000
561,Andrea Morris,33.0000
348,Donna Hughes,33.0000
923,Victor Diaz,32.6667
438,Jane Davis,32.6667
735,Kyle Scott,32.6667
189,Stephen Smith,32.5000
529,Amy Perez,32.5000
613,Renee Campbell,32.5000
800,Anthony Garcia,32.4000
500,Richard Patterson,32.3333
607,Sean Wolf,32.0000
588,Laurie Alvarez,32.0000
648,Heather Stewart,32.0000
442,Natasha Harper,32.0000
645,Steven Armstrong,32.0000
417,Justin Santos,32.0000
87,Tammy Walker MD,32.0000
544,Matthew Wright,32.0000
962,Donald Anderson,32.0000
130,Matthew Hughes,32.0000
145,David Hull,32.0000
509,Drew Edwards,32.0000
532,David Sellers DVM,31.6667
292,Mrs. Emily Smith DVM,31.5000
663,Michael English,31.5000
276,Scott Hunter,31.4000
228,Joanna Wilkins,31.3333
63,David Turner,31.0000
949,Allison Pennington,31.0000
301,Kristina Simpson,31.0000
701,Amber Arellano,31.0000
863,Jessica Camacho,31.0000
880,Kristen Foster,31.0000
702,Rebecca Chan,31.0000
213,Kelly Barber,31.0000
357,Jacob Orozco,31.0000
305,Brendan Vargas,31.0000
805,Sharon Martin,31.0000
7,Kenneth Baker,31.0000
426,Jose Rivas,31.0000
590,Terry Fernandez,30.6667
804,Elizabeth Cochran,30.5000
297,Deanna Daniels,30.5000
4,Erika Rose,30.5000
267,Randall Robbins,30.5000
905,Ann Odonnell,30.5000
168,Kayla Johnson,30.3333
569,Danny Randolph,30.0000
947,Debra Webster,30.0000
531,Alexandra Rogers,30.0000
86,Jessica Grant,30.0000
854,Christopher Diaz,30.0000
406,Ashley Martinez,30.0000
322,Stephanie Mathews,30.0000
713,Robert Moses,30.0000
528,Alexander Dean,30.0000
778,Kristie Townsend,30.0000
191,Brent Anderson,30.0000
368,Debra Murray,29.6667
404,Marissa Fischer,29.5000
585,Mark Lewis,29.5000
400,John Byrd,29.5000
324,Kristine Martin,29.0000
876,Jeremy Robinson,29.0000
128,Sarah Carter,29.0000
176,Brendan Farley,29.0000
926,Kimberly Ware,29.0000
241,Elizabeth Dunn,29.0000
320,Carmen Barker,29.0000
203,Vincent Matthews,29.0000
28,Mary Franklin,29.0000
318,Michael Carter,29.0000
825,Charles Morris,29.0000
412,David Carney,28.5000
985,Thomas Sanchez,28.5000
414,Dr. Matthew Hughes DDS,28.5000
850,Kristopher Mendoza,28.3333
195,John Martin,28.3333
817,Victoria Torres,28.0000
151,Lisa Eaton,28.0000
352,Cody Martin,28.0000
448,Nicholas Harrison,28.0000
787,Rachel Rios,28.0000
436,Jacqueline Turner,28.0000
960,Jason Hughes,28.0000
14,Brian Fischer,28.0000
754,Michael Ford,28.0000
617,Justin Lee,28.0000
870,Joshua Mendoza,28.0000
211,Judy Griffith,28.0000
737,James Brown,27.6667
440,Alexander Walsh,27.6667
134,Emily Christian,27.5000
503,Eileen Scott,27.5000
704,Jason Lowe,27.5000
131,Shawn Mills,27.5000
259,Aimee Stone,27.5000
799,Adam Moore,27.3333
729,David Spence,27.0000
47,Taylor Dean,27.0000
42,Maria Jacobs,27.0000
759,Kathleen Watkins,27.0000
873,Darius Reid,27.0000
576,Justin Lopez,27.0000
596,Natalie Navarro,27.0000
127,Hayden Hill,27.0000
710,Eric Carrillo,27.0000
783,Monica Phillips,27.0000
122,Drew Cline,27.0000
226,Daniel Kerr,27.0000
59,Alicia Thomas,26.6667
482,Timothy Garrett,26.6667
97,Nathan May,26.5000
10,Mary Salazar,26.5000
806,James Miller,26.5000
419,Teresa Jackson,26.3333
836,Scott Craig,26.0000
31,Rose Powell,26.0000
48,Jennifer Graham,26.0000
295,Joseph Williams,26.0000
3,Ashley Mckee,26.0000
936,Jacob Horton,26.0000
140,Kristin Scott,26.0000
50,Brian Gonzales,26.0000
407,Arthur Thomas,26.0000
345,Eric Ramos,26.0000
354,Kimberly Nelson,26.0000
682,Paige Lewis,26.0000
459,Brandon Riley,26.0000
665,Felicia Collier,26.0000
670,Amber Hobbs,26.0000
33,Anita Kerr,26.0000
767,Jordan Hart,26.0000
944,Sharon Wood,26.0000
864,Justin Anderson,26.0000
899,Rachel Pena,26.0000
994,Angelica Simmons,26.0000
984,Steve Kirby,26.0000
908,Abigail Crawford,25.6667
361,Samuel Lewis,25.6667
52,Cheryl Dillon,25.5000
838,Jessica Stephens,25.5000
849,Kyle Johnson,25.5000
997,Amanda Cain,25.5000
72,Charles Davidson,25.3333
256,Derek Wilson,25.0000
373,Seth Esparza,25.0000
517,Taylor Wolfe,25.0000
631,Diana Fisher,25.0000
160,Tracy Hartman,25.0000
105,Trevor Wilson,25.0000
432,Julie Brown,25.0000
782,Timothy Burns,25.0000
651,Rebecca Mcbride,25.0000
180,Michelle Cook,25.0000
629,Andrea Hansen,25.0000
90,Alvin West,24.7500
423,Christine Bell,24.6667
181,Paul Evans,24.6667
933,Jodi Lee,24.5000
678,Joseph Johnson,24.5000
996,Matthew Curtis,24.5000
266,Stacy Mayo,24.5000
293,Randy Roach,24.5000
390,Victor Crawford,24.3333
686,Spencer Roberts,24.0000
360,Tammy Boone,24.0000
298,Robert Burke,24.0000
158,Gregory Murphy,24.0000
550,Shawn Gibson,23.6667
495,Andrea Meyer,23.5000
154,Thomas Johnson,23.5000
269,Mrs. Paula Jones,23.5000
888,Matthew Davis,23.5000
126,Heather Brown,23.5000
472,Brian Hill,23.5000
608,Oscar Bauer,23.3333
410,Betty Reid,23.2500
612,Meredith Griffin,23.0000
96,Michael Walls,23.0000
939,Chad Vaughn,23.0000
508,Kimberly Wilson,23.0000
274,Robin Ross,23.0000
68,Wesley Thompson,23.0000
786,Robert Kim,23.0000
877,Jeffrey Stafford,23.0000
219,Alex Rogers,23.0000
603,Christina Caldwell,23.0000
943,Rebecca Lucas,23.0000
93,Allison Bray,22.6667
497,Miss Jamie Gonzalez DDS,22.5000
223,David Henderson,22.5000
300,Jeanne Benjamin,22.5000
113,Jonathan Young,22.3333
927,Mary Escobar,22.0000
555,Mary Lewis,22.0000
762,Donna Chang,22.0000
249,Zachary Lewis,22.0000
791,David Kennedy,22.0000
977,Pamela Scott,22.0000
372,Harold Bowen,22.0000
681,Becky Hernandez,22.0000
781,Jason Taylor,22.0000
415,Kevin Blair,22.0000
220,Cassandra Mendoza,21.6667
446,Eric Mays,21.6667
192,Rhonda King,21.6667
329,Christine Patterson,21.5000
468,David Castro,21.5000
371,William Frederick,21.4000
624,Alvin Day Jr.,21.0000
116,Mark Lee,21.0000
685,Angela Knight,21.0000
883,Aaron Rios,21.0000
643,Mary Morrow,21.0000
494,Timothy Chavez,21.0000
124,Marie Andrade,21.0000
929,Donna Terry,21.0000
162,Douglas Baxter,21.0000
212,Ronald Gonzalez,21.0000
549,Trevor Lam,21.0000
424,Pamela Harris,21.0000
589,Nicole Williams,20.5000
970,Brandon Rice,20.5000
843,Glenn Anthony,20.5000
968,Mr. Joseph Herring,20.5000
647,Christine Davis,20.3333
505,Alexandra Owens,20.2500
475,Kim Gamble,20.0000
317,Martha Flores,20.0000
837,Michelle Reed,20.0000
946,Taylor Mann,20.0000
358,Brian Davis,20.0000
379,Tara Graham,20.0000
281,Mrs. Kristin Adams DDS,19.6667
983,Joanna Black,19.5000
538,Ronald Norton,19.5000
920,Gregory Rodriguez,19.0000
449,Mrs. Valerie Hartman,19.0000
310,Gary Adams,19.0000
101,Nicole Reid,19.0000
774,Tracy Bass,19.0000
684,Kiara Martinez,19.0000
572,Diana Blair,19.0000
1000,April Miller,19.0000
455,Jennifer Kennedy,19.0000
771,Emily Gallagher,19.0000
512,Anne Stone,19.0000
967,Samantha Sherman,19.0000
233,Alicia Porter,18.6667
420,Susan Green,18.6667
747,Vanessa Johnson,18.6667
353,Mrs. Stacey Morales MD,18.5000
240,Ronald Miller,18.5000
695,Janet Newton,18.3333
935,John Harris,18.3333
546,Meagan Hughes,18.0000
336,Laura Marshall,18.0000
730,Felicia Glover,18.0000
303,Joseph Davis,18.0000
272,Walter Carter,18.0000
398,Alex White,18.0000
413,Dennis Schultz,18.0000
225,Joseph Bowman,18.0000
886,Amber Cruz,18.0000
193,Jesse Brown,18.0000
600,Bruce Alexander,17.6667
437,Lindsey Lewis,17.5000
717,Jonathon Gregory,17.3333
222,Stephanie Jones,17.0000
795,Caitlin Cobb,17.0000
499,Ricky Harmon,17.0000
874,Danny Brown,17.0000
109,Rachel Nguyen,17.0000
183,Nicole Walker,17.0000
691,Brittany Williams,17.0000
435,Whitney Evans,17.0000
628,James Gardner,17.0000
460,Karen Stafford,17.0000
671,Cindy Green PhD,17.0000
542,Savannah Neal,17.0000
43,Bobby Perry,17.0000
235,Megan Freeman,17.0000
394,Kyle Kerr,17.0000
171,Suzanne Velasquez,17.0000
852,Jo Martinez,17.0000
625,Paul Lee,17.0000
185,Shannon Pineda,16.3333
595,Courtney Whitney,16.3333
811,Scott Schroeder,16.3333
262,Autumn Reed,16.0000
172,Nicole Brown,16.0000
756,Emma Anderson,16.0000
418,Miss Mary Turner,16.0000
227,Samuel Hodge,16.0000
57,Christopher Lozano,16.0000
830,Jeffrey Cooper,16.0000
755,Eugene Beltran,16.0000
571,Lydia Phillips,15.6667
149,Nathan Willis,15.5000
65,Cody Gardner,15.5000
835,Jennifer Wright,15.5000
974,Mark Miller,15.5000
88,Eric Ryan DDS,15.0000
255,Walter Myers,15.0000
897,Shelby Rice,15.0000
6,Mandy Sutton PhD,15.0000
485,Debbie Cox,15.0000
216,Morgan Massey,15.0000
705,Christopher Sellers,15.0000
963,Victor Ward,15.0000
814,Michael Petersen,15.0000
687,Danny Palmer,15.0000
132,Katherine Gomez,15.0000
328,Carlos Lawrence,15.0000
903,Cindy Robinson DDS,15.0000
323,Linda Banks,14.5000
229,Tina Watkins,14.0000
975,Danielle Bullock,14.0000
757,Christopher Garcia,14.0000
35,James Castaneda,14.0000
723,Lisa Kim,14.0000
548,Gary Andrews,14.0000
488,Patrick Jenkins,14.0000
748,Bridget Williams,14.0000
26,Kimberly Lindsey,14.0000
788,Beth Phillips,14.0000
378,Brandi Buckley,14.0000
945,Alex Leon,14.0000
321,Wanda Wise,13.5000
554,Margaret Mccullough,13.3333
416,Ernest Cox,13.0000
201,Calvin Lucas,13.0000
34,Megan Alvarez,13.0000
872,Lori Peters,13.0000
821,Jeffrey Wilson,13.0000
676,John Williams,13.0000
894,Tammy Fletcher,13.0000
218,Corey Lamb,13.0000
351,Kerry Jones,13.0000
622,Gary Torres,13.0000
959,Samantha Gomez,12.5000
391,Regina Munoz,12.0000
562,Antonio Murphy,12.0000
523,William Fox,12.0000
294,Cynthia Horton,12.0000
480,Michael Roberson,12.0000
869,David Mendoza,12.0000
993,Alexis Hayes,12.0000
652,Sandy Ward,12.0000
965,Ashley Silva,11.5000
619,Taylor Estrada,11.0000
384,Anthony Guerra,11.0000
489,Erin Foster,11.0000
477,Jorge Young,11.0000
696,Kellie Hart,11.0000
397,Mr. Robert Rivera II,11.0000
839,Michael Cox,11.0000
161,Mary Nguyen,10.0000
763,Karen Williamson,10.0000
565,Brian Blankenship,10.0000
396,Allison Martinez,10.0000
615,Rachel Carson,10.0000
205,Kimberly Wilkins,9.5000
794,Lee Nunez,9.5000
638,Timothy Browning,9.0000
75,Nicholas Smith,9.0000
566,Michael Lewis,9.0000
726,Tammy Brown,9.0000
879,Bridget Hill,9.0000
511,Kimberly Cox,9.0000
367,Ricardo Roberts,9.0000
139,Charles Martin,9.0000
934,Dr. Wendy Terrell,9.0000
258,Scott Grant,8.5000
856,Amanda Brown,8.0000
679,Alexis Rodriguez,8.0000
882,Steven Shaffer,8.0000
484,Mary Harrington,8.0000
533,Joseph Knapp,8.0000
536,Margaret Lloyd,7.5000
275,Michael Johnson,7.5000
271,Mark Hartman,7.0000
479,Karen Reeves MD,7.0000
425,Robert Chavez,7.0000
196,Tara Bauer,7.0000
866,Jose Cooper,7.0000
107,Jessica Morris,7.0000
878,Cory Johnson,7.0000
239,Lindsay Garcia,7.0000
587,Jennifer Clark,7.0000
362,Elizabeth Collins,7.0000
848,Terrence Wagner,7.0000
510,Jeremy Christensen,7.0000
916,Lindsey Mathis,7.0000
938,Matthew Thornton,7.0000
399,Jennifer Hughes,6.5000
632,Austin Smith,6.0000
654,John Murray,6.0000
964,Donald Moore,6.0000
77,Juan Spencer,6.0000
204,Rachel Thomas,6.0000
194,Alan Campbell,6.0000
700,Kimberly Duncan,6.0000
673,Shelly Castillo,5.5000
481,Heather Brown,5.0000
319,Donald Bender,5.0000
545,Peter Allen,5.0000
53,Cassandra Owens,5.0000
973,Brian Johnson,5.0000
170,Adam Browning,5.0000
706,Shannon Jensen,4.6667
299,Michael Curtis,4.5000
909,Matthew Cordova,4.0000
840,Mary Anderson,4.0000
514,Ashley Bell,4.0000
815,James Miller,4.0000
537,Earl Eaton,4.0000
921,Kelly Walls,4.0000
715,Tyler Christensen,4.0000
680,James Lewis,4.0000
16,Elizabeth Lewis,4.0000
620,Cassandra Foster,4.0000
558,Samantha Salinas,4.0000
409,Matthew Simmons PhD,4.0000
462,Timothy Martin,3.0000
666,Meredith Hull,3.0000
594,Sheri Johnson,3.0000
709,Matthew Sanchez,3.0000
355,Brian Hoffman,3.0000
893,Carrie Hess,2.5000
184,Matthew Sanchez,2.0000
214,Corey Rodriguez,2.0000
766,John Reynolds,2.0000
174,Matthew Johnson,2.0000
746,Kenneth Barnes,2.0000
904,Amanda Kline,1.0000
765,Joshua Hooper,1.0000
